iter	Passed	Remaining
1316	8857	1223
1317	8863	1217
1318	8868	1210
1319	8877	1203
1320	8883	1197
1321	8891	1190
1322	8898	1183
1323	8906	1177
1324	8912	1170
1325	8920	1163
1326	8928	1157
1327	8933	1150
1328	8942	1143
1329	8948	1137
1330	8957	1130
1331	8963	1123
1332	8970	1117
1333	8977	1110
1334	8984	1103
1335	8990	1096
1336	8996	1090
1337	9004	1083
1338	9010	1076
1339	9015	1069
1340	9023	1063
1341	9028	1056
1342	9039	1050
1343	9046	1043
1344	9055	1036
1345	9060	1029
1346	9067	1023
1347	9073	1016
1348	9079	1009
1349	9087	1002
1350	9092	996
1351	9099	989
1352	9106	982
1353	9112	975
1354	9120	969
1355	9125	962
1356	9131	955
1357	9138	948
1358	9144	942
1359	9152	935
1360	9158	928
1361	9166	922
1362	9172	915
1363	9178	908
1364	9186	901
1365	9192	894
1366	9198	888
1367	9205	881
1368	9210	874
1369	9219	868
1370	9224	861
1371	9231	854
1372	9239	847
1373	9244	841
1374	9253	834
1375	9258	827
1376	9266	820
1377	9272	814
1378	9278	807
1379	9285	800
1380	9291	793
1381	9300	787
1382	9306	780
1383	9312	773
1384	9319	767
1385	9325	760
1386	9332	753
1387	9338	746
1388	9345	740
1389	9351	733
1390	9358	726
1391	9367	720
1392	9373	713
1393	9381	706
1394	9387	699
1395	9393	693
1396	9401	686
1397	9407	679
1398	9415	673
1399	9421	666
1400	9431	659
1401	9437	652
1402	9444	646
1403	9452	639
1404	9458	632
1405	9466	626
1406	9472	619
1407	9480	612
1408	9485	605
1409	9491	599
1410	9500	592
1411	9506	585
1412	9514	579
1413	9520	572
1414	9528	565
1415	9534	558
1416	9543	552
1417	9549	545
1418	9554	538
1419	9563	532
1420	9569	525
1421	9577	518
1422	9583	511
1423	9588	505
1424	9597	498
1425	9602	491
1426	9611	484
1427	9616	478
1428	9623	471
1429	9629	464
1430	9636	457
1431	9643	451
1432	9650	444
1433	9659	437
1434	9665	431
1435	9674	424
1436	9679	417
1437	9685	410
1438	9692	404
1439	9698	397
1440	9706	390
1441	9712	383
1442	9718	377
1443	9725	370
1444	9731	363
1445	9740	357
1446	9746	350
1447	9755	343
1448	9762	336
1449	9771	330
1450	9777	323
1451	9783	316
1452	9790	309
1453	9796	303
1454	9805	296
1455	9810	289
1456	9817	282
1457	9824	276
1458	9830	269
1459	9838	262
1460	9843	256
1461	9851	249
1462	9858	242
1463	9863	235
1464	9871	229
1465	9877	222
1466	9886	215
1467	9891	208
1468	9900	202
1469	9906	195
1470	9913	188
1471	9919	181
1472	9925	175
1473	9933	168
1474	9940	161
1475	9946	154
1476	9953	148
1477	9959	141
1478	9970	134
1479	9979	128
1480	9986	121
1481	9992	114
1482	10000	107
1483	10006	101
1484	10017	94
1485	10026	87
1486	10034	80
1487	10040	74
1488	10049	67
1489	10054	60
1490	10062	53
1491	10068	47
1492	10075	40
1493	10083	33
1494	10088	26
1495	10097	20
1496	10102	13
1497	10107	6
1498	10115	0
